// sample: {time(ms),pitch(deg),pitch_spd(rad/s),yaw(deg),yaw_spd(rad/s)},
{
{710, 0.0f, 0.0f, 4.550156f, -0.584112f},
{712, 0.0f, 0.0f, 4.474054f, -0.744112f},
{714, 0.0f, 0.0f, 4.379618f, -0.904112f},
{716, 0.0f, 0.0f, 4.266847f, -1.064112f},
{718, 0.0f, 0.0f, 4.135741f, -1.224112f},
{720, 0.0f, 0.0f, 3.986301f, -1.384112f},
{722, 0.0f, 0.0f, 3.818526f, -1.544112f},
{724, 0.0f, 0.0f, 3.632416f, -1.704112f},
{726, 0.0f, 0.0f, 3.427972f, -1.864112f},
{728, 0.0f, 0.0f, 3.205193f, -2.024112f},
{730, 0.0f, 0.0f, 2.964079f, -2.184112f},
{732, 0.0f, 0.0f, 2.704631f, -2.344112f},
{734, 0.0f, 0.0f, 2.426848f, -2.504112f},
{736, 0.0f, 0.0f, 2.130731f, -2.664112f},
{738, 0.0f, 0.0f, 1.816278f, -2.824112f},
{740, 0.0f, 0.0f, 1.483492f, -2.984112f},
{742, 0.0f, 0.0f, 1.132370f, -3.144112f},
{744, 0.0f, 0.0f, 0.762914f, -3.304112f},
{746, 0.0f, 0.0f, 0.375123f, -3.464112f},
{748, 0.0f, 0.0f, -0.031002f, -3.624112f},
{750, 0.0f, 0.0f, -0.455462f, -3.784112f},
{752, 0.0f, 0.0f, -0.880997f, -3.634113f},
{754, 0.0f, 0.0f, -1.288268f, -3.474113f},
{756, 0.0f, 0.0f, -1.677205f, -3.314113f},
{758, 0.0f, 0.0f, -2.047807f, -3.154113f},
{760, 0.0f, 0.0f, -2.400074f, -2.994113f},
{762, 0.0f, 0.0f, -2.734007f, -2.834113f},
{764, 0.0f, 0.0f, -3.049605f, -2.674113f},
{766, 0.0f, 0.0f, -3.346868f, -2.514113f},
{768, 0.0f, 0.0f, -3.625797f, -2.354113f},
{770, 0.0f, 0.0f, -3.886391f, -2.194113f},
{772, 0.0f, 0.0f, -4.128651f, -2.034113f},
